#
# FE_ComparatorWithAnalytic generated file
# meaning of the columns:
#    TIME : current time
#    TIST : time step
#    XH   : maximum of the cell diameters
#    XD   : maximum of the cell equivalent ball diameters
#    other columns : given by the data of keyword
#                    "norm_saving_names" in the data deck
#
#       TIME         TIST           XH           XD       T_InfE       T_VLDE       T_VLDI 
 0.00000E+00  5.00000E-03  5.79189E-02  4.61880E-02  9.64318E-01  6.69074E-01  0.00000E+00 
 1.00000E-01  5.00000E-03  5.79189E-02  4.61880E-02  1.70037E-01  1.62068E-01  0.00000E+00 
 2.00000E-01  5.00000E-03  5.79189E-02  4.61880E-02  7.25382E-02  6.23563E-02  0.00000E+00 
 3.00000E-01  5.00000E-03  5.79189E-02  4.61880E-02  3.61521E-02  2.53579E-02  0.00000E+00 
 4.00000E-01  5.00000E-03  5.79189E-02  4.61880E-02  2.27607E-02  1.33766E-02  0.00000E+00 
 5.00000E-01  5.00000E-03  5.79189E-02  4.61880E-02  1.81887E-02  1.10408E-02  0.00000E+00 
 6.00000E-01  5.00000E-03  5.79189E-02  4.61880E-02  1.70190E-02  1.12069E-02  0.00000E+00 
 7.00000E-01  5.00000E-03  5.79189E-02  4.61880E-02  1.71833E-02  1.18166E-02  0.00000E+00 
 8.00000E-01  5.00000E-03  5.79189E-02  4.61880E-02  1.78926E-02  1.25234E-02  0.00000E+00 
 9.00000E-01  5.00000E-03  5.79189E-02  4.61880E-02  1.88475E-02  1.32798E-02  0.00000E+00 
 1.00000E+00  5.00000E-03  5.79189E-02  4.61880E-02  1.99353E-02  1.40810E-02  0.00000E+00 
 1.10000E+00  5.00000E-03  5.79189E-02  4.61880E-02  2.11149E-02  1.49281E-02  0.00000E+00 
 1.20000E+00  5.00000E-03  5.79189E-02  4.61880E-02  2.23722E-02  1.58231E-02  0.00000E+00 
 1.30000E+00  5.00000E-03  5.79189E-02  4.61880E-02  2.37039E-02  1.67682E-02  0.00000E+00 
 1.40000E+00  5.00000E-03  5.79189E-02  4.61880E-02  2.51104E-02  1.77654E-02  0.00000E+00 
 1.50000E+00  5.00000E-03  5.79189E-02  4.61880E-02  2.65942E-02  1.88168E-02  0.00000E+00 
 1.60000E+00  5.00000E-03  5.79189E-02  4.61880E-02  2.81569E-02  1.99244E-02  0.00000E+00 
 1.70000E+00  5.00000E-03  5.79189E-02  4.61880E-02  2.98009E-02  2.10901E-02  0.00000E+00 
 1.80000E+00  5.00000E-03  5.79189E-02  4.61880E-02  3.15287E-02  2.23156E-02  0.00000E+00 
 1.90000E+00  5.00000E-03  5.79189E-02  4.61880E-02  3.33422E-02  2.36025E-02  0.00000E+00 
 2.00000E+00  5.00000E-03  5.79189E-02  4.61880E-02  3.52432E-02  2.49521E-02  0.00000E+00 
 2.10000E+00  5.00000E-03  5.79189E-02  4.61880E-02  3.72329E-02  2.63653E-02  0.00000E+00 
 2.20000E+00  5.00000E-03  5.79189E-02  4.61880E-02  3.93119E-02  2.78428E-02  0.00000E+00 
 2.30000E+00  5.00000E-03  5.79189E-02  4.61880E-02  4.14801E-02  2.93847E-02  0.00000E+00 
 2.40000E+00  5.00000E-03  5.79189E-02  4.61880E-02  4.37470E-02  3.09907E-02  0.00000E+00 
 2.50000E+00  5.00000E-03  5.79189E-02  4.61880E-02  4.61149E-02  3.26597E-02  0.00000E+00 
 2.50500E+00  5.00000E-03  5.79189E-02  4.61880E-02  4.62356E-02  3.27448E-02  0.00000E+00 
