#
# FE_ComparatorWithAnalytic generated file
# meaning of the columns:
#    TIME : current time
#    TIST : time step
#    XH   : maximum of the cell diameters
#    XD   : maximum of the cell equivalent ball diameters
#    other columns : given by the data of keyword
#                    "norm_saving_names" in the data deck
#
#       TIME         TIST           XH           XD       P_InfE       P_VLDE       P_VLDI 
 0.00000E+00  5.00000E-03  5.79189E-02  4.61880E-02  5.64480E+02  3.87937E+02  7.21865E+01 
 1.00000E-01  5.00000E-03  5.79189E-02  4.61880E-02  1.03678E+02  9.72055E+01  7.21865E+01 
 2.00000E-01  5.00000E-03  5.79189E-02  4.61880E-02  4.24116E+01  3.72958E+01  7.21865E+01 
 3.00000E-01  5.00000E-03  5.79189E-02  4.61880E-02  2.02758E+01  1.47728E+01  7.21865E+01 
 4.00000E-01  5.00000E-03  5.79189E-02  4.61880E-02  1.20962E+01  7.00384E+00  7.21865E+01 
 5.00000E-01  5.00000E-03  5.79189E-02  4.61880E-02  9.23941E+00  5.15213E+00  7.21865E+01 
 6.00000E-01  5.00000E-03  5.79189E-02  4.61880E-02  8.43266E+00  5.06943E+00  7.21865E+01 
 7.00000E-01  5.00000E-03  5.79189E-02  4.61880E-02  8.42667E+00  5.32091E+00  7.21865E+01 
 8.00000E-01  5.00000E-03  5.79189E-02  4.61880E-02  8.74491E+00  5.63597E+00  7.21865E+01 
 9.00000E-01  5.00000E-03  5.79189E-02  4.61880E-02  9.20623E+00  5.97607E+00  7.21865E+01 
 1.00000E+00  5.00000E-03  5.79189E-02  4.61880E-02  9.76554E+00  6.33670E+00  7.21865E+01 
 1.10000E+00  5.00000E-03  5.79189E-02  4.61880E-02  1.03749E+01  6.71808E+00  7.21865E+01 
 1.20000E+00  5.00000E-03  5.79189E-02  4.61880E-02  1.10132E+01  7.12107E+00  7.21865E+01 
 1.30000E+00  5.00000E-03  5.79189E-02  4.61880E-02  1.16861E+01  7.54662E+00  7.21865E+01 
 1.40000E+00  5.00000E-03  5.79189E-02  4.61880E-02  1.23967E+01  7.99570E+00  7.21865E+01 
 1.50000E+00  5.00000E-03  5.79189E-02  4.61880E-02  1.31474E+01  8.46925E+00  7.21865E+01 
 1.60000E+00  5.00000E-03  5.79189E-02  4.61880E-02  1.39402E+01  8.96817E+00  7.21865E+01 
 1.70000E+00  5.00000E-03  5.79189E-02  4.61880E-02  1.47768E+01  9.49334E+00  7.21865E+01 
 1.80000E+00  5.00000E-03  5.79189E-02  4.61880E-02  1.56588E+01  1.00456E+01  7.21865E+01 
 1.90000E+00  5.00000E-03  5.79189E-02  4.61880E-02  1.65878E+01  1.06255E+01  7.21865E+01 
 2.00000E+00  5.00000E-03  5.79189E-02  4.61880E-02  1.75652E+01  1.12339E+01  7.21865E+01 
 2.10000E+00  5.00000E-03  5.79189E-02  4.61880E-02  1.85919E+01  1.18710E+01  7.21865E+01 
 2.20000E+00  5.00000E-03  5.79189E-02  4.61880E-02  1.96691E+01  1.25373E+01  7.21865E+01 
 2.30000E+00  5.00000E-03  5.79189E-02  4.61880E-02  2.07973E+01  1.32328E+01  7.21865E+01 
 2.40000E+00  5.00000E-03  5.79189E-02  4.61880E-02  2.19767E+01  1.39574E+01  7.21865E+01 
 2.50000E+00  5.00000E-03  5.79189E-02  4.61880E-02  2.32072E+01  1.47108E+01  7.21865E+01 
 2.50500E+00  5.00000E-03  5.79189E-02  4.61880E-02  2.32700E+01  1.47492E+01  7.21865E+01 
