PELICANS 15_05_2015
Package inventory :
Name;Comment;Package
PELpack;PELbase;;
UT;Unit Tests;PELpack;
HDS;Hierarchical Data System;PELpack;
COL;Containers;PELpack;
BT;Basic Types;PELpack;
MD;Data on Meshing;PELpack;
GEpack;Geometry;;
INT;Intersector;GEpack;
POL;Polygon;GEpack;
MPOL;Polyhedron;GEpack;
MESH;Meshing builder;GEpack;
QR;Quadrature rules;GEpack;
LApack;LinearAlgebra;;
LAUT;Unit Tests;LApack
LAEXT;External solvers;LApack
PDEpack;PDEsolver;;
FEpack;FrameFE;;
RSpack;RefSol;;

Class inventory :
Name;Package;Comment
PDE;PDEpack;;
PDE_AdapterCHARMS;PDEpack;;
PDE_AdapterHN;PDEpack;;
PDE_SystemNumbering;PDEpack;;
PDE_ResultSaver;PDEpack;;
PDE_ResultReader;PDEpack;;
PDE_DiscreteField;PDEpack;;
PDE_DOFconstraintsIterator;PDEpack;;
PDE_AlgebraicCoarsener;PDEpack;;
PDE_MeshingCoarsener;PDEpack;;
PDE_AdaptationIndicator;PDEpack;;
PDE_FluxCellIndicator;PDEpack;;
PDE_GeometricIndicator;PDEpack;;
PDE_FieldComposition;PDEpack;;
PDE_FieldCompositionExp;PDEpack;;
PDE_SetOfDiscreteFields;PDEpack;;
PDE_SetOfFieldCompositions;PDEpack;;
PDE_SetOfDomains;PDEpack;;
PDE_DomainAndFields;PDEpack;;
PDE_DomainVisu;PDEpack;;
PDE_CrossProcessNodeNumbering;PDEpack;;
PDE_CrossProcessUnknownNumbering;PDEpack;;
PDE_InterfaceAndFields;PDEpack;;
PDE_SetOfBCs;PDEpack;;
PDE_LinkDOF2Unknown;PDEpack;;
PDE_GridMover;PDEpack;;
PDE_HelperFIC;PDEpack;;
PDE_CFootFinder;PDEpack;;
PDE_LocalFE;PDEpack;;
PDE_LocalFEsingle;PDEpack;;
PDE_LocalFEcell;PDEpack;;
PDE_LocalFEmulti;PDEpack;;
PDE_LocalFEbound;PDEpack;;
PDE_LocalFEinterface;PDEpack;;
PDE_LocalFEmortarSide;PDEpack;;
PDE_CursorFEside;PDEpack;;
PDE_LocalEquation;PDEpack;;
PDE_ReferenceElement;PDEpack;;
PDE_0D_Q0_1node;PDEpack;;
PDE_1D_P0_1node;PDEpack;;
PDE_1D_P1_2nodes;PDEpack;;
PDE_1D_P2_3nodes;PDEpack;;
PDE_2D_P0_1node;PDEpack;;
PDE_2D_P1_3nodes;PDEpack;;
PDE_2D_P1isoP2_6nodes;PDEpack;;
PDE_2D_P1isoNonConf_3nodes;PDEpack;;
PDE_2D_P1bubble_4nodes;PDEpack;;
PDE_2D_P2_6nodes;PDEpack;;
PDE_2D_Q0_1node;PDEpack;;
PDE_2D_Q1_4nodes;PDEpack;;
PDE_2D_Q1bubbles_6nodes;PDEpack;;
PDE_2D_Q1isoNonConfA_4nodes;PDEpack;;
PDE_2D_Q1isoNonConfB_4nodes;PDEpack;;
PDE_2D_Q2_8nodes;PDEpack;;
PDE_2D_Q2_9nodes;PDEpack;;
PDE_3D_P0_1node;PDEpack;;
PDE_3D_P1_4nodes;PDEpack;;
PDE_3D_P1isoP2_10nodes;PDEpack;;
PDE_3D_P1isoNonConf_4nodes;PDEpack;;
